name;class;plurality;person;describe
i'; ; singular; first; subject
ɪ'; ; singular; second; subject
ɔ'; ; singular; third; subject
rʌ'; ; singular; third; subject
kʌ'; ; singular; third; subject
dʌ'; ; singular; third; subject
əŋ'; ; singular; third; subject
pʌ'; ; singular; third; subject
sʌ'; ; plural; first; subject
nu'; ; plural; second; subject
aŋ'; ; plural; third; subject
ɛ'; ; plural; third; subject
tʌ'; ; plural; third; subject
nʌ'; ; plural; third; subject
cʌ'; ; plural; third; subject
mʌ'; ; plural; third; subject
ma'; ; plural; fourth; progressive,subjective
mi; ; singular; first; object
mu; ; singular; second; object
su; ; plural; first; object
nu; ; plural; second; object
ŋa; ; plural; first; object
nuŋ; ; plural; second; object
ta'; ; plural; third; permisiative,subjective
minɛ'; ; singular; first; subjectAccusational
munɔ'; ; singular; second; subjectAccusational
kɔ̄ŋ'; ; singular; third; subjectAccusational
kɔ̄n'; ; singular; third; subjectAccusational
sa'; ; plural; first; subjectAccusational
sā'; ; plural; first; subjectAccusational
na'; ; plural; third; subjectAccusational
minɛ̄ŋ; ; singular; first; objectAccusational
munɔ̄ŋ; ; singular; second; objectAccusational
sāŋ; ; plural; first; objectAccusational
nāŋ; ; plural; second; objectAccusational
na; ; plural; third; objectAccusational
mɛ'; ; singular; first; subjectProgressive,subjectPerfectum
mɔŋ'; ; singular; second; subjectProgressiveQuestionative,subjectPerfectum
mɔ'; ; singular; third; subjectProgressive,subjectPerfectum
maŋ'; ; plural; third; subjectProgressive,subjectPerfectum
p'; ; infinitive; fourth; infinitive,subjective
minɛ; ; singular; first; directAssertative,objective
minɛŋ; ; singular; first; directAssertative,objective
munɔ; ; singular; second; directAssertative,objective
munɔŋ; ; singular; second; directAssertative,objective
kɔnɔ; ; singular; third; directAssertative,objective
kɔnɔŋ; ; singular; third; directAssertative,objective
ŋə; ; singular; third; directAssertative,objective
mə; ; singular; third; directAssertative,objective
rə; ; singular; third; directAssertative,objective
tə; ; singular; third; directAssertative,objective
kə; ; singular; third; directAssertative,objective
